Account,Token Account,Quantity,Percentage
8MftALg8mGUBiUDjzWyEZDxa19ernyGMX2kTxkKsoxJD,CGRGpC8W3hHMP3gQ7QbPQPv61aLnSbDq6U77PMQzpe5E,1020641.18675716,0.11
5UemQvn4tgWF6Mg7hF3ZAT37QQ7FR9AucZUd6T6MfyRA,DTZrHJoWPzVXKq5TnSiz8e8qPiCzxQWV7g8WxSe3Ljuc,1019800.419643111,0.11
BT9FdCqxB5tMdQwgREggLBoKfH8z69q33YzjK4tYHrpn,7PwX947AtLndh6Fe6NQcQzciutXo7xqLsqxqdf1AABLh,1000000.000129028,0.11
Gnm82VG1vQsVpWbW1JHrKKadpy9SYH6WZawsvdHb7tBR,86dEQM3rUb14RLJXZQRyxJ2nCeNveLFiNpjTju6APLxQ,998105.84226764,0.11
ED1Z3XY1PqdeRgy7qaMMmNyQGUR61Gro39WBJJF5muS7,DZTSzHrRGfWDtwocLVyd7eivgdXipbbN9boJmnDrUGP9,903988.737139847,0.10
DBjDJ1NBtfPTBhESZnjzU5HbhrHEaVYxJM3KZsJfBS9P,8ZWoD1YUJKQxsxxZomBiXH366mtmThnCGsDrkJvhrbAj,889276.043155787,0.10
7gowx342LaUn4LreVj4883eZZqjBsVJ4b7GnzZoDMG25,3zi8xVPzbYR11NVzWTn1rqESfS7CHzNiTed7foE1hjkB,866723.772927254,0.09
6XUavcSZ1e6V8gNGLgCsDbYrp2Wf1ckNeasLyU6ppYSc,HtmuZE9ew2GsLnRhxK7qLuUsHPpYF347T5iH6NQ7NnBv,858225.545867204,0.09
27o5tMFoZRf8UYLxop25ZBAxoy4JMUBuU7p2QUKw3Fi5,JDZXgfZ8Y75sYutk6bUUW9e2StHkyPFPV546ei6LZpov,801811.240547171,0.09
27zyHsCbojP8WgEsyWgyWPZGzsepGaZdpDnrbnwqkwmW,9TxEGgxB3f3xzunqjA3tpvnPkXUSETA5Pxs4B9CEqYb1,750007.808597418,0.08
93xQJjoPdshZ34tBQYNGcCAfM2XjpDwph6uShw1fnckW,HaJzrHoRKT95ubxXTgZmPZrZc19mboJNdWKT3whzwbpF,741803.717998913,0.08
AKu5wusBZwoVBMJfhtaDsG2WzpFZWWrBfGZ16N5ubd1L,8ioFZVDDxJ4QWsvYojcV8vuBgiS79EUYHNY67Stidvjq,725050.741603628,0.08
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,Bv5AM5wUpBKufsCV3STM9MPbL1Hg32WgGSkRYx65Ra7U,703708.948714024,0.08
9VsQhB7ExQjx7RsGL3xdZaSPMAq3XAFFCr1eScZnZNCj,CkvYSZDkquHEaFShujauK7iUx3W5tWb6wfbukX5pkuU,700000,0.08
GSangGxLuSg4NQxjB3c1WymEWMYHtWXfUc1tPsdmLEVv,CW7A8q1FrqBUMZpgBgHA3U2ckdjL8nn54RWQAD6Y1CKC,680868.592678088,0.07
